--- PROJECTS ---
- ID: 699d1f2b4d7710a3ad23596c, Name: Industrial Shed – Phase II, Count: 1
- ID: 699d1f2b4d7710a3ad23596f, Name: Warehouse Complex – WH7, Count: undefined
- ID: 69ba3ad5b0939795cf6046e7, Name: maryland, Count: 7
- ID: 69bb9f35cb7055937287ba0e, Name: cleve, Count: 16
- ID: 69bd358ee076089d2d34a4ca, Name: sds, Count: 1

--- ALL TRANSMITTALS ---
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 6, New: 1, ID: 69afaff33a1c6c74e40c54ff
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 7, New: 1, ID: 69afaff43a1c6c74e40c550d
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 8, New: 1, ID: 69afb0003a1c6c74e40c5579
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 9, New: 1, ID: 69afb0003a1c6c74e40c5584
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 10, New: 2, ID: 69afb0023a1c6c74e40c5595
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 11, New: 1, ID: 69afb0023a1c6c74e40c55a3
- ProjectID: 69afafc63a1c6c74e40c53fd, Transmittal #: 12, New: 1, ID: 69afb0043a1c6c74e40c55b8
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 1, New: 1, ID: 69afb3323a1c6c74e40c5722
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 2, New: 1, ID: 69afb33e3a1c6c74e40c5743
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 3, New: 1, ID: 69afb33f3a1c6c74e40c5752
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 4, New: 1, ID: 69afb3423a1c6c74e40c5764
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 5, New: 1, ID: 69afb3433a1c6c74e40c5770
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 6, New: 1, ID: 69afb3503a1c6c74e40c57a0
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 7, New: 1, ID: 69afb3543a1c6c74e40c57c6
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 8, New: 1, ID: 69afb36a3a1c6c74e40c5835
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 9, New: 1, ID: 69afb36a3a1c6c74e40c5844
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 10, New: 2, ID: 69afb36e3a1c6c74e40c5858
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 11, New: 1, ID: 69afb3713a1c6c74e40c5878
- ProjectID: 69afb30e3a1c6c74e40c5670, Transmittal #: 12, New: 1, ID: 69afb3733a1c6c74e40c5886
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 1, New: 1, ID: 69afb4453a1c6c74e40c59bc
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 2, New: 1, ID: 69afb4493a1c6c74e40c59ce
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 3, New: 1, ID: 69afb44c3a1c6c74e40c59e0
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 4, New: 1, ID: 69afb44c3a1c6c74e40c59ef
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 5, New: 1, ID: 69afb4533a1c6c74e40c5a0a
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 6, New: 1, ID: 69afb4563a1c6c74e40c5a1c
- ProjectID: 69afb4293a1c6c74e40c591b, Transmittal #: 7, New: 1, ID: 69afb4573a1c6c74e40c5a2a
